play_id,game_id,posteam,home_team,away_team,week,game_date,field_goal_result,extra_point_result,two_point_conv_result,td_team,total_home_score,total_away_score,safety,touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,away_score,home_score
1672,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,failed,,,6,17,0.0,0.0,1.0,0.0,0.0,38,13
1688,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1703,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1725,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1747,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1771,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1792,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1813,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1834,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1858,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1882,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1920,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1955,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,17,0.0,0.0,0.0,0.0,0.0,38,13
1981,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,ARI,6,23,0.0,1.0,0.0,0.0,0.0,38,13
2003,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,good,,,6,24,0.0,0.0,1.0,0.0,0.0,38,13
2030,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2050,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2074,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2095,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
